case_id,activity_id,time_stamp,time_stamp_out,product_id
34,12,2023-09-24 11:54:35,2023-09-24 12:51:35,34
34,5,2023-09-24 12:51:35,2023-09-24 14:08:35,34
34,10,2023-09-24 14:08:35,2023-09-24 14:52:35,34
34,24,2023-09-24 14:52:35,2023-09-24 15:02:35,34
35,0,2023-09-24 10:10:35,2023-09-24 13:38:35,35
35,38,2023-09-24 13:38:35,2023-09-24 15:09:35,35
35,2,2023-09-24 15:09:35,2023-09-24 15:20:35,35
35,3,2023-09-24 15:20:35,2023-09-24 15:40:35,35
35,18,2023-09-24 15:40:35,2023-09-24 15:45:35,35
35,13,2023-09-24 15:45:35,2023-09-24 15:56:35,35
35,6,2023-09-24 15:56:35,2023-09-24 16:23:35,35
35,7,2023-09-24 16:23:35,2023-09-24 16:34:35,35
36,11,2023-09-24 10:14:35,2023-09-24 10:56:35,36
36,27,2023-09-24 10:56:35,2023-09-24 11:55:35,36
36,28,2023-09-24 11:55:35,2023-09-24 12:36:35,36
36,20,2023-09-24 12:36:35,2023-09-24 13:29:35,36
36,18,2023-09-24 13:29:35,2023-09-24 13:34:35,36
36,17,2023-09-24 13:34:35,2023-09-24 13:44:35,36
36,6,2023-09-24 13:44:35,2023-09-24 14:12:35,36
36,24,2023-09-24 14:12:35,2023-09-24 14:19:35,36
37,36,2023-09-24 10:18:35,2023-09-24 17:57:35,37
37,1,2023-09-24 17:57:35,2023-09-24 18:49:35,37
37,8,2023-09-24 18:49:35,2023-09-24 18:58:35,37
37,22,2023-09-24 18:58:35,2023-09-24 19:06:35,37
37,4,2023-09-24 19:06:35,2023-09-24 19:14:35,37
37,5,2023-09-24 19:14:35,2023-09-24 19:48:35,37
37,10,2023-09-24 19:48:35,2023-09-24 20:07:35,37
37,24,2023-09-24 20:07:35,2023-09-24 20:12:35,37
38,37,2023-09-24 10:25:35,2023-09-24 10:46:35,38
38,14,2023-09-24 10:46:35,2023-09-24 12:11:35,38
38,2,2023-09-24 12:11:35,2023-09-24 12:25:35,38
38,3,2023-09-24 12:25:35,2023-09-24 12:39:35,38
38,4,2023-09-24 12:39:35,2023-09-24 12:47:35,38
38,21,2023-09-24 12:47:35,2023-09-24 12:59:35,38
38,31,2023-09-24 12:59:35,2023-09-24 13:21:35,38
38,7,2023-09-24 13:21:35,2023-09-24 13:31:35,38
39,37,2023-09-24 10:30:35,2023-09-24 10:55:35,39
39,19,2023-09-24 10:55:35,2023-09-24 11:41:35,39
39,16,2023-09-24 11:41:35,2023-09-24 12:05:35,39
39,22,2023-09-24 12:05:35,2023-09-24 12:13:35,39
39,4,2023-09-24 12:13:35,2023-09-24 12:27:35,39
39,17,2023-09-24 12:27:35,2023-09-24 13:24:35,39
39,10,2023-09-24 13:24:35,2023-09-24 14:00:35,39
39,30,2023-09-24 14:00:35,2023-09-24 14:10:35,39
40,11,2023-09-24 10:30:35,2023-09-24 11:20:35,40
40,19,2023-09-24 11:20:35,2023-09-24 11:53:35,40
40,9,2023-09-24 11:53:35,2023-09-24 12:01:35,40
40,3,2023-09-24 12:01:35,2023-09-24 12:08:35,40
40,18,2023-09-24 12:08:35,2023-09-24 12:13:35,40
40,13,2023-09-24 12:13:35,2023-09-24 14:07:35,40
40,31,2023-09-24 14:07:35,2023-09-24 14:24:35,40
40,30,2023-09-24 14:24:35,2023-09-24 14:29:35,40
41,37,2023-09-24 10:43:35,2023-09-24 10:59:35,41
41,38,2023-09-24 10:59:35,2023-09-24 12:25:35,41
41,2,2023-09-24 12:25:35,2023-09-24 12:36:35,41
41,22,2023-09-24 12:36:35,2023-09-24 12:43:35,41
41,29,2023-09-24 12:43:35,2023-09-24 13:51:35,41
41,17,2023-09-24 13:51:35,2023-09-24 14:05:35,41
41,31,2023-09-24 14:05:35,2023-09-24 14:16:35,41
41,30,2023-09-24 14:16:35,2023-09-24 14:21:35,41
42,37,2023-09-24 10:47:35,2023-09-24 11:23:35,42
42,1,2023-09-24 11:23:35,2023-09-24 14:04:35,42
42,16,2023-09-24 14:04:35,2023-09-24 15:29:35,42
42,26,2023-09-24 15:29:35,2023-09-24 15:49:35,42
42,12,2023-09-24 15:49:35,2023-09-24 16:35:35,42
42,13,2023-09-24 16:35:35,2023-09-24 16:45:35,42
42,10,2023-09-24 16:45:35,2023-09-24 17:03:35,42
42,24,2023-09-24 17:03:35,2023-09-24 17:08:35,42
43,11,2023-09-24 10:47:35,2023-09-24 11:25:35,43
43,14,2023-09-24 11:25:35,2023-09-24 12:32:35,43
43,16,2023-09-24 12:32:35,2023-09-24 12:44:35,43
43,3,2023-09-24 12:44:35,2023-09-24 12:51:35,43
43,4,2023-09-24 12:51:35,2023-09-24 12:59:35,43
43,23,2023-09-24 12:59:35,2023-09-24 13:14:35,43
43,31,2023-09-24 13:14:35,2023-09-24 13:54:35,43
43,7,2023-09-24 13:54:35,2023-09-24 14:05:35,43
44,0,2023-09-24 10:49:35,2023-09-24 14:11:35,44
44,19,2023-09-24 14:11:35,2023-09-24 15:38:35,44
44,16,2023-09-24 15:38:35,2023-09-24 15:50:35,44
44,20,2023-09-24 15:50:35,2023-09-24 16:11:35,44
44,18,2023-09-24 16:11:35,2023-09-24 16:33:35,44
44,17,2023-09-24 16:33:35,2023-09-24 16:43:35,44
44,6,2023-09-24 16:43:35,2023-09-24 16:57:35,44
44,24,2023-09-24 16:57:35,2023-09-24 17:02:35,44
45,37,2023-09-24 10:56:35,2023-09-24 11:27:35,45
45,27,2023-09-24 11:27:35,2023-09-24 12:14:35,45
45,8,2023-09-24 12:14:35,2023-09-24 12:48:35,45
45,34,2023-09-24 12:48:35,2023-09-24 12:54:35,45
45,18,2023-09-24 12:54:35,2023-09-24 12:59:35,45
45,21,2023-09-24 12:59:35,2023-09-24 13:29:35,45
45,6,2023-09-24 13:29:35,2023-09-24 13:57:35,45
45,24,2023-09-24 13:57:35,2023-09-24 14:02:35,45
46,11,2023-09-24 10:57:35,2023-09-24 11:33:35,46
46,38,2023-09-24 11:33:35,2023-09-24 12:36:35,46
46,2,2023-09-24 12:36:35,2023-09-24 12:47:35,46
46,22,2023-09-24 12:47:35,2023-09-24 12:53:35,46
46,12,2023-09-24 12:53:35,2023-09-24 14:05:35,46
46,17,2023-09-24 14:05:35,2023-09-24 14:34:35,46
46,6,2023-09-24 14:34:35,2023-09-24 15:01:35,46
46,30,2023-09-24 15:01:35,2023-09-24 15:06:35,46
47,37,2023-09-24 11:00:35,2023-09-24 11:32:35,47
47,19,2023-09-24 11:32:35,2023-09-24 12:29:35,47
47,9,2023-09-24 12:29:35,2023-09-24 12:37:35,47
47,34,2023-09-24 12:37:35,2023-09-24 12:43:35,47
47,18,2023-09-24 12:43:35,2023-09-24 12:48:35,47
47,35,2023-09-24 12:48:35,2023-09-24 13:12:35,47
47,31,2023-09-24 13:12:35,2023-09-24 13:37:35,47
47,7,2023-09-24 13:37:35,2023-09-24 13:51:35,47
48,11,2023-09-24 11:21:35,2023-09-24 11:44:35,48
48,19,2023-09-24 11:44:35,2023-09-24 13:33:35,48
48,2,2023-09-24 13:33:35,2023-09-24 13:50:35,48
48,20,2023-09-24 13:50:35,2023-09-24 14:01:35,48
48,18,2023-09-24 14:01:35,2023-09-24 14:06:35,48
48,21,2023-09-24 14:06:35,2023-09-24 14:17:35,48
48,31,2023-09-24 14:17:35,2023-09-24 14:40:35,48
